127.0.0.1 - - [07/Apr/2022:12:26:48 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/componentes/comunes/XmlTextWriter.js HTTP/1.1" 200 8410
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/indicadores/imagenes/barraHerramientas/explicaciones_1.gif HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/duppont/Duppont.js HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/iniciativas/imagenes/planificacion_1.gif HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/componentes/barraHerramientas/email_1.gif HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/componentes/visorLista/visorListaJsTag.jsp HTTP/1.1" 200 17362
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/componentes/barraHerramientas/filtrar_1.gif HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/componentes/visorLista/abajo.gif HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/barraHerramientas/historicos_1.gif HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/imagenes/barraHerramientas/relacionIniciativa_1.gif HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/componentes/visorLista/transparente.gif HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/indicadores/imagenes/historico_vigente.gif HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/indicadores/imagenes/alertaBlanca.gif HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/indicadores/imagenes/barraHerramientas/graficoasistente_1.gif HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/indicadores/imagenes/barraHerramientas/graficoplantillas_1.gif HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/indicadores/imagenes/barraHerramientas/dupont_1.gif HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/indicadores/imagenes/barraHerramientas/mediciones_1.gif HTTP/1.1" 200 234
